Date,Adj Close,Close,High,Low,Open,Volume
06/12/2022,634.1958618,651.7000122,658.7999878,649,651,1233657
07/12/2022,636.58,654.1500244,657.9000244,649.75,649.75,871091
08/12/2022,644.5597534,662.3499756,670.2999878,652.9000244,655,2234602
09/12/2022,653.8046265,671.8499756,676.0999756,664,665,2723169
12/12/2022,678.4737549,697.2000122,703.7000122,670.0999756,672,5932237
13/12/2022,699.006958,718.2999878,724.5,700,700,7100398
14/12/2022,704.8458252,724.2999878,732,711.9000244,724,5008176
15/12/2022,689.713501,708.75,730.8499756,706,728.0999756,2263539
16/12/2022,670.0560913,688.5499878,711.5999756,687.0499878,701.2999878,2820832
19/12/2022,714.8692017,734.5999756,741.75,689.75,689.7999878,6490103
20/12/2022,720.0755615,739.9500122,754.25,730.0499878,738,8871743
21/12/2022,682.8042603,701.6500244,747.7000122,698,742,4546599
22/12/2022,663.2927856,681.5999756,713.6500244,680,705.2000122,4221417
23/12/2022,641.0564575,658.75,687.0499878,655.0999756,679,3498066
26/12/2022,669.520874,688,690.9000244,661,661,2728756
27/12/2022,674,692.5999756,698.7000122,681.5499878,693.5,1862730
28/12/2022,668.5963745,687.0499878,693.5,685,690,944339
29/12/2022,665.3363647,683.7000122,686.5999756,681.3499756,686.5999756,978328
30/12/2022,666.21,684.5999756,692.25,683.2999878,686,878093
02/01/2023,690.44,709.5,714.5999756,684.7000122,685,2988258
03/01/2023,714.8692017,734.5999756,737.7999878,715.75,718,4845441
04/01/2023,711.37,731,746,728,736.9000244,3772736
05/01/2023,708.2518311,727.7999878,738.2999878,722.5999756,733.8499756,1602415
06/01/2023,688.3,707.2999878,729.4000244,705.2000122,727.7999878,1625158
09/01/2023,692.4869385,711.5999756,718,708.0499878,716,1268499
10/01/2023,695.8,715,718.5,708.5,711.7000122,1546064
11/01/2023,695.8929443,715.0999756,723.5,710.5499878,714.5499878,1322852
12/01/2023,686.4535522,705.4000244,717.5499878,703.0999756,716.0999756,1156008
13/01/2023,693.6547241,712.7999878,716.2000122,705.25,706.4500122,1241951
16/01/2023,690.1514282,709.2000122,718.5999756,707.7000122,714,746717
17/01/2023,686.7454834,705.7000122,711.5,698.7000122,708,981024
18/01/2023,687.6212769,706.5999756,709.0999756,703.0999756,707,601657
19/01/2023,682.7555542,701.5999756,711,700.2999878,705,651600
20/01/2023,679.7874756,698.5499878,705.2999878,695.0999756,702,528700
23/01/2023,682.0744019,700.9000244,704.8499756,698.2000122,700,530547
24/01/2023,683.2421265,702.0999756,714.5,700,702,1092923
25/01/2023,670.8832397,689.4000244,704.9500122,686,703,864582
