Date,Close,High,Low,Open,Volume
10/10/2018,102.6430817,104.0795266,100.7070127,100.9880555,3411681
11/10/2018,101.8936386,103.4862147,100.7382479,101.1754218,3668989
12/10/2018,102.5494003,103.2676285,101.8311836,102.3620384,4147903
15/10/2018,102.8304367,103.3925223,102.2371317,102.5806247,2191491
16/10/2018,102.3932648,103.267624,101.2378627,102.8304387,3857880
17/10/2018,101.7375031,103.4862102,101.3003291,102.7679934,5369029
19/10/2018,100.8319092,103.2051517,100.1136811,101.5501258,6202959
22/10/2018,102.9553604,104.8602101,101.2378726,101.8311891,6407974
23/10/2018,103.0490417,103.6735776,101.5189158,102.5181869,7316558
24/10/2018,101.8311844,104.1419772,99.73897286,103.6735724,12856915
25/10/2018,101.3627701,103.0177961,98.24006848,101.4876818,94631476
26/10/2018,99.48916626,100.0824827,96.67873783,99.27057357,9339921
29/10/2018,99.27056885,99.89511609,98.24007847,99.64529262,6963919
30/10/2018,99.55160522,100.5820955,97.9590293,99.36424335,3257071
31/10/2018,99.70774078,100.4884076,96.95976301,99.926322,6069514
01/11/2018,98.05271149,100.0824728,97.8965804,99.77019917,2992327
02/11/2018,98.67726135,99.52038982,97.45940912,98.61479977,11487762
05/11/2018,95.86682129,98.36498145,94.74265007,98.36498145,18263054
06/11/2018,96.27276611,96.61627048,95.14860066,96.14786583,6223800
07/11/2018,96.70995331,96.83485359,96.49136065,96.80363424,212175
09/11/2018,96.46012878,97.17835688,95.86681812,97.14712609,8098182
12/11/2018,95.42963409,97.08466562,95.24227225,96.36643759,3916333
13/11/2018,97.92783356,98.55236948,95.14862985,95.24231081,7903864
14/11/2018,98.27129364,100.3010433,97.67797728,98.052701,3853852
15/11/2018,96.05419159,99.39547454,95.80437385,98.64602704,4538966
16/11/2018,96.21033478,97.11591347,95.55456813,95.67947416,5166086
19/11/2018,95.52333069,96.49136513,94.86756413,96.17909153,6879644
20/11/2018,93.15007782,95.61701301,92.74412899,95.17983339,4600113
21/11/2018,92.33818054,93.58725782,91.90100092,93.1500782,7625524
22/11/2018,91.18278503,92.68168016,90.93297299,92.2757313,3684871
26/11/2018,90.37088013,91.7760942,88.49726137,91.43259552,6534517
27/11/2018,91.02664185,91.68240838,89.46529106,90.24596359,4866687
28/11/2018,89.59021759,92.15083416,88.68463884,91.77611034,17823474
29/11/2018,88.84075165,91.02664395,87.96639816,89.84001686,30727317
30/11/2018,87.62289429,89.05933902,85.90541248,88.6846153,29840662
03/12/2018,90.49578094,90.96418561,87.43553524,87.65412789,12013041
04/12/2018,89.4340744,90.4021089,88.68462687,90.4021089,6785000
05/12/2018,88.09130096,90.49578012,86.93590471,89.27792801,8833965
06/12/2018,87.3106308,88.80952575,86.31136559,87.8727164,5460772
07/12/2018,86.0927887,88.12254442,85.28088526,87.43554701,13240540
10/12/2018,85.06228638,86.96713009,84.12547706,84.87492451,34436070
11/12/2018,85.78051758,86.21769149,83.71953686,83.71953686,13406569
12/12/2018,87.87272644,88.43481211,85.49947774,86.15524435,12274362
13/12/2018,88.09130096,88.68461734,87.27940337,88.27866283,10636545
14/12/2018,89.62143707,90.02738592,87.18573256,88.06008612,13732576
17/12/2018,91.24523926,94.52407229,90.40211076,93.6809438,21749589
18/12/2018,92.24450684,92.68168077,90.7143809,91.18278563,13037010
19/12/2018,93.55603027,93.86829816,91.96345436,92.65044598,8182075
20/12/2018,93.24375916,93.6497137,91.58873305,92.80658525,13909968
21/12/2018,94.02442932,94.55528412,92.58798457,93.36866281,18956932
24/12/2018,91.4325943,94.02443546,90.68314681,93.68093678,8506178
26/12/2018,90.90174866,92.65046167,90.08985088,91.30770326,10358386
27/12/2018,92.61922455,93.52480316,90.05860838,91.61995928,32905857
28/12/2018,93.58725739,94.68020357,91.49505167,92.08836237,11010662
31/12/2018,93.08760834,93.71214398,92.49429204,93.55601293,5010889
01/01/2019,92.86904907,93.43113479,91.43260971,93.0251859,4011082
02/01/2019,91.80732727,92.86904275,91.27646667,92.40063802,5201079
03/01/2019,89.55898285,92.05714327,89.21548415,91.80732551,7035283
04/01/2019,91.02664185,91.37013479,88.8407496,89.90247065,7988112
07/01/2019,92.80657959,93.49357119,91.27645387,91.33890973,14121843
08/01/2019,91.77610016,93.36867621,91.1827837,92.43186677,6656692
09/01/2019,91.52627563,92.71290275,90.80805321,91.80731845,4636543
10/01/2019,92.49430847,93.39989275,91.65118005,91.77609178,15340801
11/01/2019,92.43184662,93.86828554,91.93221121,92.43184662,13579929
14/01/2019,90.90174866,92.65046167,90.68316167,92.43187469,5010679
15/01/2019,91.05786896,91.46381777,90.02737867,91.18277497,14730974
16/01/2019,91.40136719,92.74412535,90.99541266,91.3701364,5679378
17/01/2019,90.49578094,92.2132628,90.08983214,91.74485814,7529166
18/01/2019,90.12106323,91.43259638,89.93370135,90.74560473,3100312
21/01/2019,89.55898285,91.6511887,89.09057813,91.49505761,13187677
22/01/2019,89.18424988,89.87124149,88.68462013,89.87124149,7074433
23/01/2019,87.90394592,89.68388377,87.62290311,89.24670986,5323552
24/01/2019,87.46677399,88.74707637,86.87345755,87.9039479,4250377
25/01/2019,86.3738327,88.62217542,86.21769589,87.74782182,5463236
28/01/2019,86.56118774,87.12327338,85.34333554,86.49873188,7303346
29/01/2019,86.49874115,87.06082684,85.81174943,86.56119702,9728281
30/01/2019,86.6236496,87.68536507,86.24892581,87.06082353,13777792
31/01/2019,87.2481842,88.18499365,86.81101028,87.74781972,44034840
01/02/2019,87.52922058,87.74781325,86.68609214,87.43553964,7099405
04/02/2019,85.71804047,87.68533976,85.40577264,87.49797792,6716304
05/02/2019,86.21768188,86.43627454,85.06228564,85.56191537,8526399
06/02/2019,87.90396118,88.32071761,86.55751101,87.07044245,12810810
07/02/2019,87.16660309,88.48099666,86.62161536,87.83982806,5193513
08/02/2019,84.66606903,88.09631317,84.34548761,86.8139816,5597162
11/02/2019,83.57608795,85.46753187,82.45404415,84.60195673,13126864
12/02/2019,85.43547058,85.88428928,83.35168248,83.38373886,14900754
14/02/2019,84.15314484,85.46753877,82.13346936,83.99285118,37913966
15/02/2019,87.35894775,88.0962913,84.63399165,84.63399165,25855830
18/02/2019,88.12835693,90.01980057,86.52544417,87.07043193,13001166
19/02/2019,85.72399902,88.41689958,84.92254248,87.9039681,9029095
20/02/2019,87.96806335,89.05804467,84.82634492,86.04456347,14955330
21/02/2019,87.48719025,88.80157795,86.87807802,88.35276521,4719134
22/02/2019,89.57097626,89.92361986,86.55749505,87.67953861,11678731
25/02/2019,89.98773956,90.40449592,87.35895243,89.50686458,27557787
26/02/2019,90.11598969,90.53274613,87.39103286,87.96808296,15501729
27/02/2019,88.96189117,91.65479166,88.5771911,89.31453486,18258775
28/02/2019,90.56479645,91.49448423,88.67335277,89.89157143,50183582
01/03/2019,91.68684387,92.16771894,90.82126875,90.85333101,6789074
05/03/2019,94.25151062,95.02091071,91.68684171,91.68684171,12988303
06/03/2019,95.50179291,95.8544366,94.31563631,94.70033638,10313295
07/03/2019,93.73858643,96.55971834,93.28976772,95.59796816,8337421
08/03/2019,97.58557892,99.25261047,93.19358483,94.57209135,34663172
11/03/2019,97.07263184,102.7790132,95.85441908,98.09850046,30007645
12/03/2019,96.97646332,100.2464194,96.30323827,96.6879383,23315044
13/03/2019,95.02091217,96.8482374,92.96918053,96.81618102,20943115
14/03/2019,98.51526642,99.31671696,94.9567854,95.46972267,14675396
15/03/2019,101.33638,102.1057799,97.87408614,99.12435517,20356743
18/03/2019,101.7852173,103.0996051,99.86171719,101.2081673,19289406
19/03/2019,103.7920685,105.6386358,100.329768,103.0611407,25950621
20/03/2019,99.44493866,104.6383881,98.56013346,104.4845104,28098992
22/03/2019,103.5996933,104.7922655,99.79116609,100.7913883,53779933
25/03/2019,104.1382828,105.7924879,102.9072382,102.9841829,31535535
26/03/2019,108.3315353,109.2548131,104.6384125,104.6384125,23510777
27/03/2019,105.4077911,108.4084462,104.7922688,108.4084462,20849776
28/03/2019,104.4460526,107.2158973,103.9459472,105.7925026,41232946
01/04/2019,103.945961,105.7925166,102.7533885,104.9461718,26716877
02/04/2019,103.9843979,105.1769702,103.0995926,104.6768649,14343829
03/04/2019,103.7151337,105.7925115,103.0996113,104.5999391,12596804
04/04/2019,104.3691025,105.2539195,103.4458249,103.7151195,12939086
05/04/2019,103.7151337,104.9846391,103.4073666,104.2921837,7742848
08/04/2019,104.2921829,105.253933,103.5227828,103.7920658,13409083
09/04/2019,104.5614471,104.9846195,103.9074642,104.2536919,7506763
10/04/2019,103.5612717,105.4078275,103.3304493,104.8307773,9502300
11/04/2019,104.5999451,104.9461728,103.4073725,103.8305449,8703097
12/04/2019,104.5999451,105.0231175,104.022895,104.6384174,7212573
15/04/2019,105.2154541,106.4080265,104.1767594,104.8307541,11013801
16/04/2019,105.8309937,106.2926267,105.0231211,105.7155766,7469500
18/04/2019,104.1382828,106.0617826,103.9074605,105.7924879,6634192
22/04/2019,104.6383972,104.9461525,103.3688919,103.9459419,5541225
23/04/2019,102.8303146,104.7153542,102.5225593,104.6384095,8790522
24/04/2019,103.0611267,103.4458267,101.7916214,102.8303044,9255095
25/04/2019,102.2532425,104.1382816,101.7916096,103.0995871,29354749
26/04/2019,103.1765442,103.9459442,102.5994942,102.6764271,4789673
30/04/2019,103.1380844,103.7151345,101.1376395,103.2919621,7527996
02/05/2019,102.4071655,103.0226763,101.6377654,102.5610432,6401386
03/05/2019,104.2152557,105.1385336,102.3302276,102.4071723,9226969
06/05/2019,103.8690033,104.330648,102.8687809,103.8690033,6080575
07/05/2019,103.1765442,104.7922771,102.7918442,104.2152271,9137799
08/05/2019,100.6375275,103.0996052,100.1758827,102.9841999,8742473
09/05/2019,98.25238037,100.6375251,97.25216387,100.5990528,14395488
10/05/2019,97.71380615,99.06025624,97.13675612,98.82943387,9724014
13/05/2019,95.05938721,97.71381527,94.63621479,97.63687644,11507204
14/05/2019,96.63663483,97.32909597,94.17455728,95.17477371,6908544
15/05/2019,95.36713409,97.63686777,94.63620639,97.17522891,9384447
